"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"J1","1","RJ12","","","","Connector_RJ:RJ25_Wayconn_MJEA-660X1_Horizontal","~"
"J2","1","Conn_01x06_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical","~"
